Series_Title,Released_Year,Country
The Shawshank Redemption,1994,USA
The Godfather,1972,USA
The Dark Knight,2008,USA
The Godfather: Part II,1974,USA
12 Angry Men,1957,USA
The Lord of the Rings: The Return of the King,2003,USA
Pulp Fiction,1994,USA
Schindler's List,1993,USA
Inception,2010,USA
Fight Club,1999,USA
The Lord of the Rings: The Fellowship of the Ring,2001,USA
Forrest Gump,1994,USA
"Il buono, il brutto, il cattivo",1966,Italy
The Lord of the Rings: The Two Towers,2002,USA
The Matrix,1999,USA
Goodfellas,1990,USA
Star Wars: Episode V - The Empire Strikes Back,1980,USA
One Flew Over the Cuckoo's Nest,1975,USA
Hamilton,2020,USA
Gisaengchung,2019,South Korea
Soorarai Pottru,2020,India
Interstellar,2014,USA
Cidade de Deus,2002,Brazil
Sen to Chihiro no kamikakushi,2001,Japan
Saving Private Ryan,1998,USA
The Green Mile,1999,USA
La vita è bella,1997,Italy
Se7en,1995,USA
The Silence of the Lambs,1991,USA
Star Wars,1977,USA
Seppuku,1962,Japan
Shichinin no samurai,1954,Japan
It's a Wonderful Life,1946,USA
Joker,2019,USA
Whiplash,2014,USA
The Intouchables,2011,France
The Prestige,2006,USA
The Departed,2006,USA
The Pianist,2002,France
Gladiator,2000,USA
American History X,1998,USA
The Usual Suspects,1995,USA
Léon,1994,France
The Lion King,1994,USA
Terminator 2: Judgment Day,1991,USA
Nuovo Cinema Paradiso,1988,Italy
Hotaru no haka,1988,Japan
Back to the Future,1985,USA
Once Upon a Time in the West,1968,Italy
Psycho,1960,USA
Casablanca,1942,USA
Modern Times,1936,USA
City Lights,1931,USA
Capharnaüm,2018,Lebanon
Ayla: The Daughter of War,2017,Turkey
Vikram Vedha,2017,India
Kimi no na wa.,2016,Japan
Dangal,2016,India
Spider-Man: Into the Spider-Verse,2018,USA
Avengers: Endgame,2019,USA
Avengers: Infinity War,2018,USA
Coco,2017,USA
Django Unchained,2012,USA
The Dark Knight Rises,2012,USA
3 Idiots,2009,India
Taare Zameen Par,2007,India
WALL·E,2008,USA
The Lives of Others,2006,Germany
Oldeuboi,2003,South Korea
Memento,2000,USA
Mononoke-hime,1997,Japan
Once Upon a Time in America,1984,USA
Raiders of the Lost Ark,1981,USA
The Shining,1980,USA
Apocalypse Now,1979,USA
Alien,1979,USA
Anand,1971,India
Tengoku to jigoku,1963,Japan
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,USA
Witness for the Prosecution,1957,USA
Paths of Glory,1957,USA
Rear Window,1954,USA
Sunset Blvd.,1950,USA
The Great Dictator,1940,USA
1917,2019,USA
Tumbbad,2018,India
Andhadhun,2018,India
Drishyam,2013,India
Jagten,2012,Denmark
Jodaeiye Nader az Simin,2011,Iran
Incendies,2010,Canada
Miracle in cell NO.7,2019,South Korea
Babam ve Oglum,2005,Turkey
Inglourious Basterds,2009,USA
Eternal Sunshine of the Spotless Mind,2004,USA
Amélie,2001,France
Snatch,2000,UK
Requiem for a Dream,2000,USA
American Beauty,1999,USA
Good Will Hunting,1997,USA
Bacheha-Ye aseman,1997,Iran
Toy Story,1995,USA
Braveheart,1995,USA
Reservoir Dogs,1992,USA
Full Metal Jacket,1987,USA
Idi i smotri,1985,Soviet Union
Aliens,1986,USA
Amadeus,1984,USA
Scarface,1983,USA
Star Wars: Episode VI - Return of the Jedi,1983,USA
Das Boot,1981,Germany
Taxi Driver,1976,USA
The Sting,1973,USA
A Clockwork Orange,1971,UK
2001: A Space Odyssey,1968,USA
Per qualche dollaro in più,1965,Italy
Lawrence of Arabia,1962,UK
The Apartment,1960,USA
North by Northwest,1959,USA
Vertigo,1958,USA
Singin' in the Rain,1952,USA
Ikiru,1952,Japan
Ladri di biciclette,1948,Italy
Double Indemnity,1944,USA
Citizen Kane,1941,USA
M - Eine Stadt sucht einen Mörder,1931,Germany
Metropolis,1927,Germany
The Kid,1921,USA
Chhichhore,2019,India
Uri: The Surgical Strike,2018,India
K.G.F: Chapter 1,2018,India
Green Book,2018,USA
"Three Billboards Outside Ebbing, Missouri",2017,USA
Talvar,2015,India
Baahubali 2: The Conclusion,2017,India
Klaus,2019,USA
Drishyam,2015,India
Queen,2013,India
Mandariinid,2013,Estonia
Bhaag Milkha Bhaag,2013,India
Gangs of Wasseypur,2012,India
Udaan,2010,India
Paan Singh Tomar,2012,India
El secreto de sus ojos,2009,Argentina
Warrior,2011,USA
Shutter Island,2010,USA
Up,2009,USA
The Wolf of Wall Street,2013,USA
Chak De! India,2007,India
There Will Be Blood,2007,USA
Pan's Labyrinth,2006,Mexico
Toy Story 3,2010,USA
V for Vendetta,2005,USA
Rang De Basanti,2006,India
Black,2005,India
Batman Begins,2005,USA
"Swades: We, the People",2004,India
Der Untergang,2004,Germany
Hauru no ugoku shiro,2004,Japan
A Beautiful Mind,2001,USA
Hera Pheri,2000,India
"Lock, Stock and Two Smoking Barrels",1998,UK
L.A. Confidential,1997,USA
Eskiya,1996,Turkey
Heat,1995,USA
Casino,1995,USA
Andaz Apna Apna,1994,India
Unforgiven,1992,USA
Indiana Jones and the Last Crusade,1989,USA
Dom za vesanje,1988,Yugoslavia
Tonari no Totoro,1988,Japan
Die Hard,1988,USA
Ran,1985,Japan
Raging Bull,1980,USA
Stalker,1979,Soviet Union
Höstsonaten,1978,Sweden
The Message,1976,UK
Sholay,1975,India
Monty Python and the Holy Grail,1975,UK
The Great Escape,1963,USA
To Kill a Mockingbird,1962,USA
Yôjinbô,1961,Japan
Judgment at Nuremberg,1961,USA
Some Like It Hot,1959,USA
Smultronstället,1957,Sweden
Det sjunde inseglet,1957,Sweden
Du rififi chez les hommes,1955,France
Dial M for Murder,1954,USA
Tôkyô monogatari,1953,Japan
Rashômon,1950,Japan
All About Eve,1950,USA
The Treasure of the Sierra Madre,1948,USA
To Be or Not to Be,1942,USA
The Gold Rush,1925,USA
Sherlock Jr.,1924,USA
Portrait de la jeune fille en feu,2019,France
Pink,2016,India
Koe no katachi,2016,Japan
Contratiempo,2016,Spain
Ah-ga-ssi,2016,South Korea
Mommy,2014,Canada
Haider,2014,India
Logan,2017,USA
Room,2015,Ireland
Relatos salvajes,2014,Argentina
Soul,2020,USA
Kis Uykusu,2014,Turkey
PK,2014,India
OMG: Oh My God!,2012,India
The Grand Budapest Hotel,2014,USA
Gone Girl,2014,USA
Ôkami kodomo no Ame to Yuki,2012,Japan
Hacksaw Ridge,2016,USA
Inside Out,2015,USA
Barfi!,2012,India
12 Years a Slave,2013,USA
Rush,2013,UK
Ford v Ferrari,2019,USA
Spotlight,2015,USA
Song of the Sea,2014,Ireland
Kahaani,2012,India
Zindagi Na Milegi Dobara,2011,India
Prisoners,2013,USA
Mad Max: Fury Road,2015,Australia
A Wednesday,2008,India
Gran Torino,2008,USA
Harry Potter and the Deathly Hallows: Part 2,2011,UK
Okuribito,2008,Japan
Hachi: A Dog's Tale,2009,USA
Mary and Max,2009,Australia
How to Train Your Dragon,2010,USA
Into the Wild,2007,USA
No Country for Old Men,2007,USA
Lage Raho Munna Bhai,2006,India
Million Dollar Baby,2004,USA
Hotel Rwanda,2004,Rwanda
Taegukgi hwinalrimyeo,2004,South Korea
Before Sunset,2004,USA
Munna Bhai M.B.B.S.,2003,India
Salinui chueok,2003,South Korea
Dil Chahta Hai,2001,India
Kill Bill: Vol. 1,2003,USA
Finding Nemo,2003,USA
Catch Me If You Can,2002,USA
Amores perros,2000,Mexico
"Monsters, Inc.",2001,USA
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,Japan
Lagaan: Once Upon a Time in India,2001,India
The Sixth Sense,1999,USA
La leggenda del pianista sull'oceano,1998,Italy
The Truman Show,1998,USA
"Crna macka, beli macor",1998,France
The Big Lebowski,1998,USA
Fa yeung nin wah,2000,Hong Kong
Trainspotting,1996,UK
Fargo,1996,USA
Underground,1995,France
La haine,1995,France
Dilwale Dulhania Le Jayenge,1995,India
Before Sunrise,1995,USA
Trois couleurs: Rouge,1994,France
Chung Hing sam lam,1994,Hong Kong
Jurassic Park,1993,USA
In the Name of the Father,1993,Ireland
Ba wang bie ji,1993,China
Dà hóng denglong gaogao guà,1991,China
Dead Poets Society,1989,USA
Stand by Me,1986,USA
Platoon,1986,USA
"Paris, Texas",1984,USA
Kaze no tani no Naushika,1984,Japan
The Thing,1982,USA
Pink Floyd: The Wall,1982,UK
Fitzcarraldo,1982,Germany
Fanny och Alexander,1982,Sweden
Blade Runner,1982,USA
The Elephant Man,1980,UK
Life of Brian,1979,UK
The Deer Hunter,1978,USA
Rocky,1976,USA
Network,1976,USA
Barry Lyndon,1975,UK
Zerkalo,1975,Soviet Union
Chinatown,1974,USA
Paper Moon,1973,USA
Viskningar och rop,1972,Sweden
Solaris,1972,Soviet Union
Le samouraï,1967,France
Cool Hand Luke,1967,USA
Persona,1966,Sweden
Andrei Rublev,1966,Soviet Union
La battaglia di Algeri,1966,Italy
El ángel exterminador,1962,Mexico
What Ever Happened to Baby Jane?,1962,USA
Sanjuro,1962,Japan
The Man Who Shot Liberty Valance,1962,USA
Ivanovo detstvo,1962,Soviet Union
Jungfrukällan,1960,Sweden
Inherit the Wind,1960,USA
Les quatre cents coups,1959,France
Ben-Hur,1959,USA
Kakushi-toride no san-akunin,1958,Japan
Le notti di Cabiria,1957,Italy
Kumonosu-jô,1957,Japan
The Bridge on the River Kwai,1957,UK
On the Waterfront,1954,USA
Le salaire de la peur,1953,France
Ace in the Hole,1951,USA
White Heat,1949,USA
The Third Man,1949,UK
The Red Shoes,1948,UK
The Shop Around the Corner,1940,USA
Rebecca,1940,USA
Mr. Smith Goes to Washington,1939,USA
Gone with the Wind,1939,USA
La Grande Illusion,1937,France
It Happened One Night,1934,USA
La passion de Jeanne d'Arc,1928,France
The Circus,1928,USA
Sunrise: A Song of Two Humans,1927,USA
The General,1926,USA
Das Cabinet des Dr. Caligari,1920,Germany
Badhaai ho,2018,India
Togo,2019,USA
Airlift,2016,India
Bajrangi Bhaijaan,2015,India
Baby,2015,India
La La Land,2016,USA
Lion,2016,Australia
The Martian,2015,USA
Zootopia,2016,USA
Bãhubali: The Beginning,2015,India
Kaguyahime no monogatari,2013,Japan
Wonder,2017,USA
Gully Boy,2019,India
Special Chabbis,2013,India
Short Term 12,2013,USA
Serbuan maut 2: Berandal,2014,Indonesia
The Imitation Game,2014,UK
Guardians of the Galaxy,2014,USA
Blade Runner 2049,2017,USA
Her,2013,USA
Bohemian Rhapsody,2018,UK
The Revenant,2015,USA
The Perks of Being a Wallflower,2012,USA
Tropa de Elite 2: O Inimigo Agora é Outro,2010,Brazil
The King's Speech,2010,UK
The Help,2011,USA
Deadpool,2016,USA
Darbareye Elly,2009,Iran
Dev.D,2009,India
Yip Man,2008,Hong Kong
My Name Is Khan,2010,India
Nefes: Vatan Sagolsun,2009,Turkey
Slumdog Millionaire,2008,UK
Black Swan,2010,USA
Tropa de Elite,2007,Brazil
The Avengers,2012,USA
Persepolis,2007,France
Dallas Buyers Club,2013,USA
The Pursuit of Happyness,2006,USA
Blood Diamond,2006,USA
The Bourne Ultimatum,2007,USA
Bin-jip,2004,South Korea
Sin City,2005,USA
Le scaphandre et le papillon,2007,France
G.O.R.A.,2004,Turkey
Ratatouille,2007,USA
Casino Royale,2006,UK
Kill Bill: Vol. 2,2004,USA
Vozvrashchenie,2003,Russia
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,South Korea
Mar adentro,2014,Spain
Cinderella Man,2005,USA
