,nome,genero
0,Oprah Winfrey,F
1,Teri Garr,F
2,Evan Rachel Wood,F
3,Rooney Mara,F
4,Eva Green,F
5,Judy Davis,F
6,Madeline Carroll,F
7,America Ferrera,F
8,Lubna Azabal,F
9,Diane Keaton,F
10,Uma Thurman,F
11,Reese Witherspoon,F
12,Emma Stone,F
13,Drew Barrymore,F
14,Diane Ladd,F
15,Sumi Shimamoto,F
16,Jennifer Lawrence,F
17,Connie Nielsen,F
18,Samantha Morton,F
19,Susanne Bier,F
20,Jessica Biel,F
21,Angela Bassett,F
22,Kate Hudson,F
23,Michèle Caucheteux,F
24,Mia Farrow,F
25,Sean Young,F
26,Mary McDonnell,F
27,Meg Ryan,F
28,Andie MacDowell,F
29,Penelope Ann Miller,F
30,Julie Kavner,F
31,Hye-ja Kim,F
32,Maggie Smith,F
33,Carey Mulligan,F
34,Preity Zinta,F
35,Emily Blunt,F
36,Demi Moore,F
37,Noomi Rapace,F
38,Golshifteh Farahani,F
39,Brooke Adams,F
40,Liv Ullmann,F
41,Karen Allen,F
42,Eileen Walsh,F
43,Jennifer Connelly,F
44,Amy Poehler,F
45,Brigitte Lin,F
46,Patricia Arquette,F
47,Mercedes Morán,F
48,Catherine Keener,F
49,Greta Gerwig,F
50,Laura Linney,F
51,Catherine Deneuve,F
52,Alicia Vikander,F
53,Emma Thompson,F
54,Katrin Cartlidge,F
55,Veerle Baetens,F
56,Rashida Jones,F
57,Juliane Köhler,F
58,Atsuko Tanaka,F
59,Sandra Bullock,F
60,Léa Seydoux,F
61,Liesel Matthews,F
62,Lilly Wachowski,F
63,Chloë Grace Moretz,F
64,Vidya Balan,F
65,Thora Birch,F
66,Jessica Chastain,F
67,Anna Kendrick,F
68,Oksana Akinshina,F
69,Rosario Flores,F
70,Renée Zellweger,F
71,Toni Collette,F
72,Kristen Wiig,F
73,Marisa Tomei,F
74,Mila Kunis,F
75,Rena Owen,F
76,Zoe Saldana,F
77,Bonnie Bedelia,F
78,Zoya Akhtar,F
79,Julie Christie,F
80,Rosanna Arquette,F
81,Mary Steenburgen,F
82,Felicity Jones,F
83,Sarah Bolger,F
84,Jane Alexander,F
85,Linda Blair,F
